qnrnumb,visit,howoft,likenet,research,safeweb,goodtool,notouse,another,likeproc,hassle,visits,friend,billbrd,banner,surfing,sengine,tv,theater,nwspaper,other,easyuse,helpful,positive,useonly,influenc,secure,didbuy,better,howmuch,safe,wanttest,price,tradein,handson,checkit,noweeks,worth,sticker,actual,age,marital,children,educate,race,income,gender
419.0,Yes,Almost never,Neutral,Neutral,Disagree,Neutral,Agree,Disagree,Strongly Disagree,Agree,7.0,No,No,No,No,No,Yes,No,No,No,Strongly Agree,Disagree,Agree,Neutral,Agree,Strongly Agree,No,,,Neutral,Strongly Agree,Disagree,Strongly Disagree,Neutral,Disagree,5.0,12000.0,18000.0,17000.0,34.0,Single,,Undergraduate degree,Black,"$80,000 - $95,000",Male
420.0,Yes,Very often,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,12.0,No,No,No,Yes,Yes,No,No,No,No,Strongly Disagree,Strongly Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Yes,Yes,A great deal better,Strongly Disagree,Strongly Agree,Neutral,Agree,Agree,Neutral,9.0,19000.0,24000.0,22000.0,40.0,Married,2.0,Other,Black,"Over $110,000",Male
421.0,Yes,Occasionally,Neutral,Agree,Neutral,Neutral,Agree,Disagree,Strongly Disagree,Strongly Disagree,6.0,No,No,No,No,No,Yes,No,No,No,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Agree,Strongly Agree,No,,,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,3.0,4000.0,10000.0,8000.0,51.0,Single,,Undergraduate degree,Caucasian,"$35,000 - $50,000",Male
422.0,Yes,Never,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,7.0,No,No,No,Yes,Yes,No,No,No,No,Agree,Neutral,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Yes,No,,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,1.0,5000.0,11000.0,8000.0,55.0,Single,,Less than high school,Caucasian,"$65,000 - $80,000",Male
423.0,Yes,Never,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Agree,2.0,No,No,No,No,Yes,No,No,No,No,Disagree,Disagree,Disagree,Disagree,Agree,Agree,No,,,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,5.0,13000.0,20000.0,18000.0,57.0,Single,,Some college,Caucasian,"$95,000 - $110,000",Male
424.0,Yes,Almost never,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,5.0,No,No,Yes,No,No,No,No,No,No,Strongly Agree,Neutral,Disagree,Disagree,Agree,Neutral,No,,,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Disagree,2.0,,10000.0,7000.0,25.0,Married,1.0,Other,Caucasian,"Under $35,000",Female
425.0,Yes,Never,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Disagree,Agree,Strongly Disagree,1.0,No,No,No,No,Yes,No,Yes,No,No,Strongly Disagree,Agree,Agree,Neutral,Agree,Strongly Agree,No,,,Neutral,Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,2.0,6000.0,12000.0,10000.0,52.0,Divorced,2.0,Less than high school,Black,"$65,000 - $80,000",Female
426.0,Yes,Never,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,1.0,No,Yes,No,No,Yes,Yes,No,No,No,Disagree,Disagree,Disagree,Strongly Disagree,Neutral,Agree,No,,,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,6.0,6000.0,10000.0,9000.0,26.0,Married,0.0,Undergraduate degree,Caucasian,"$80,000 - $95,000",Male
427.0,Yes,Often,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,7.0,No,No,No,No,Yes,No,No,No,No,Neutral,Disagree,Strongly Disagree,Disagree,Agree,Agree,No,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,5.0,23000.0,28000.0,26000.0,36.0,Married,2.0,Undergraduate degree,Caucasian,"$95,000 - $110,000",Male
428.0,Yes,Very often,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Disagree,Disagree,Strongly Disagree,10.0,No,No,No,No,Yes,No,No,No,No,Strongly Agree,Agree,Agree,Agree,Neutral,Strongly Agree,No,,,Strongly Agree,Agree,Strongly Disagree,Disagree,Neutral,Strongly Disagree,9.0,8000.0,11000.0,10000.0,39.0,Single,,Undergraduate degree,Asian,"$80,000 - $95,000",Male
429.0,Yes,Very often,Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,Strongly Disagree,Strongly Disagree,10.0,No,No,No,No,Yes,Yes,No,No,No,Strongly Agree,Disagree,Neutral,Agree,Neutral,Agree,No,,,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,7.0,,19000.0,18000.0,34.0,Married,1.0,Undergraduate degree,Caucasian,"$80,000 - $95,000",Male
430.0,Yes,Often,Agree,Strongly Agree,Agree,Agree,Neutral,Strongly Disagree,Neutral,Neutral,9.0,No,No,No,No,No,No,No,No,No,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Yes,No,,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,4.0,14000.0,18000.0,15000.0,40.0,Married,0.0,Graduate degree,Caucasian,"Over $110,000",Male
431.0,Yes,Almost never,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,4.0,No,No,No,Yes,Yes,No,No,No,No,Neutral,Agree,Neutral,Disagree,Agree,Agree,No,,,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,6.0,4000.0,10000.0,8000.0,36.0,Separated,1.0,Undergraduate degree,Black,"Under $35,000",Male
432.0,Yes,Almost never,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,7.0,No,No,No,No,Yes,No,No,No,No,Neutral,Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Yes,Yes,Somewhat better,Agree,Strongly Agree,Strongly Disagree,Neutral,Disagree,Disagree,3.0,,10000.0,7000.0,26.0,Single,,Less than high school,Caucasian,"Under $35,000",Female
433.0,Yes,Almost never,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,5.0,No,No,No,No,No,Yes,No,No,No,Strongly Agree,Agree,Agree,Strongly Disagree,Neutral,Strongly Agree,No,,,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,5.0,11000.0,16000.0,14000.0,32.0,Married,2.0,Graduate degree,Caucasian,"$95,000 - $110,000",Male
434.0,Yes,Occasionally,Neutral,Agree,Neutral,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,9.0,No,No,No,No,Yes,No,No,No,No,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Yes,Yes,A great deal better,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Neutral,1.0,10000.0,15000.0,11000.0,32.0,Married,3.0,Less than high school,Black,"$35,000 - $50,000",Male
435.0,Yes,Almost never,Disagree,Disagree,Disagree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Strongly Agree,7.0,No,Yes,No,No,Yes,No,No,No,No,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Neutral,No,,,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,1.0,14000.0,18000.0,16000.0,23.0,Married,3.0,Graduate degree,Caucasian,"Over $110,000",Male
436.0,Yes,Very often,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,Neutral,Strongly Agree,13.0,No,No,Yes,Yes,Yes,No,No,No,Yes,Agree,Neutral,Disagree,Strongly Disagree,Neutral,Neutral,No,,,Neutral,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,1.0,8000.0,13000.0,10000.0,27.0,Separated,1.0,Some college,Caucasian,"$65,000 - $80,000",Male
437.0,Yes,Never,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Neutral,Strongly Agree,3.0,No,No,No,No,No,Yes,No,No,No,Strongly Agree,Neutral,Agree,Strongly Disagree,Agree,Agree,No,,,Neutral,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,1.0,7000.0,13000.0,11000.0,40.0,Divorced,3.0,Some college,Hispanic,"$80,000 - $95,000",Male
438.0,Yes,Very often,Neutral,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,11.0,No,No,Yes,No,Yes,Yes,Yes,No,No,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Neutral,Yes,Yes,Much better,Strongly Disagree,Agree,Strongly Disagree,Disagree,Agree,Disagree,7.0,8000.0,13000.0,9000.0,34.0,Separated,1.0,Some college,Caucasian,"$65,000 - $80,000",Male
439.0,Yes,Almost never,Disagree,Neutral,Disagree,Strongly Disagree,Agree,Neutral,Disagree,Neutral,2.0,No,No,No,Yes,Yes,No,No,No,No,Agree,Neutral,Agree,Agree,Agree,Agree,No,,,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,9.0,11000.0,17000.0,15000.0,53.0,Separated,4.0,High school,Caucasian,"$65,000 - $80,000",Male
440.0,Yes,Often,Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Agree,12.0,No,No,No,Yes,Yes,Yes,No,No,No,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Neutral,No,,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,2.0,14000.0,19000.0,18000.0,25.0,Single,,Graduate degree,Caucasian,"Over $110,000",Female
441.0,Yes,Often,Neutral,Strongly Agree,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,8.0,No,No,No,No,Yes,No,No,No,No,Strongly Disagree,Agree,Disagree,Neutral,Agree,Agree,No,,,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,6.0,9000.0,14000.0,11000.0,52.0,Married,3.0,Some college,Other,"$80,000 - $95,000",Male
442.0,Yes,Very often,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,16.0,No,No,No,Yes,Yes,Yes,No,No,No,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Agree,No,,,Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,7.0,20000.0,25000.0,23000.0,33.0,Married,2.0,Other,Caucasian,"Over $110,000",Male
443.0,Yes,Often,Strongly Agree,Agree,Agree,Neutral,Disagree,Neutral,Disagree,Neutral,10.0,No,No,No,No,Yes,No,No,No,No,Strongly Agree,Agree,Neutral,Agree,Neutral,Strongly Agree,No,,,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,1.0,14000.0,21000.0,19000.0,28.0,Divorced,0.0,High school,Hispanic,"$65,000 - $80,000",Male
444.0,Yes,Very often,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,9.0,No,No,No,Yes,No,Yes,No,No,No,Strongly Disagree,Neutral,Neutral,Disagree,Strongly Agree,Strongly Agree,Yes,Yes,A great deal better,Strongly Disagree,Agree,Strongly Disagree,Disagree,Neutral,Strongly Disagree,1.0,15000.0,21000.0,18000.0,36.0,Married,3.0,Graduate degree,Caucasian,"$95,000 - $110,000",Male
445.0,Yes,Often,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,8.0,Yes,No,No,Yes,Yes,No,No,No,No,Strongly Agree,Neutral,Agree,Strongly Disagree,Agree,Strongly Agree,Yes,Yes,Much better,Disagree,Strongly Agree,Disagree,Strongly Disagree,Neutral,Neutral,1.0,3000.0,10000.0,6000.0,34.0,Married,0.0,Undergraduate degree,Caucasian,"$95,000 - $110,000",Male
446.0,Yes,Never,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,3.0,No,No,No,No,Yes,Yes,No,No,No,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,No,,,Strongly Disagree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Disagree,1.0,12000.0,17000.0,15000.0,51.0,Single,,Undergraduate degree,Caucasian,"$95,000 - $110,000",Male
447.0,Yes,Occasionally,Agree,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Neutral,Strongly Agree,8.0,No,No,No,Yes,No,No,No,No,No,Strongly Agree,Neutral,Agree,Strongly Disagree,Neutral,Strongly Agree,No,,,Neutral,Strongly Agree,Agree,Agree,Strongly Disagree,Disagree,5.0,21000.0,26000.0,24000.0,40.0,Divorced,0.0,Undergraduate degree,Black,"$95,000 - $110,000",Male
448.0,Yes,Very often,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,9.0,No,No,Yes,Yes,Yes,No,No,No,No,Strongly Agree,Strongly Agree,Disagree,Neutral,Agree,Agree,No,,,Agree,Neutral,Disagree,Strongly Agree,Agree,Disagree,1.0,27000.0,32000.0,31000.0,44.0,Married,3.0,Graduate degree,Caucasian,"Over $110,000",Male
449.0,Yes,Occasionally,Disagree,Neutral,Agree,Agree,Neutral,Disagree,Strongly Disagree,Strongly Agree,4.0,No,No,No,No,Yes,No,No,No,No,Strongly Agree,Agree,Agree,Strongly Disagree,Neutral,Neutral,No,,,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,5.0,3000.0,10000.0,8000.0,34.0,Single,,Some college,Hispanic,"$35,000 - $50,000",Male
450.0,Yes,Occasionally,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,5.0,No,No,Yes,No,No,No,No,No,No,Strongly Disagree,Strongly Agree,Neutral,Disagree,Agree,Strongly Agree,No,,,Agree,Agree,Disagree,Neutral,Neutral,Strongly Disagree,1.0,11000.0,16000.0,13000.0,35.0,Married,2.0,Other,Caucasian,"Over $110,000",Male
451.0,Yes,Often,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,11.0,No,No,No,Yes,Yes,No,No,No,No,Neutral,Disagree,Agree,Strongly Disagree,Neutral,Neutral,No,,,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,6.0,14000.0,18000.0,16000.0,28.0,Single,,Graduate degree,Asian,"Over $110,000",Female
452.0,Yes,Almost never,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral,9.0,No,No,No,No,Yes,Yes,No,No,No,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,No,,,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,9.0,11000.0,16000.0,15000.0,52.0,Single,,Undergraduate degree,Caucasian,"$35,000 - $50,000",Male
453.0,Yes,Never,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,4.0,No,No,No,No,No,No,No,No,No,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Agree,Strongly Agree,No,,,Disagree,Strongly Agree,Disagree,Neutral,Neutral,Strongly Disagree,2.0,12000.0,15000.0,14000.0,43.0,Married,3.0,Graduate degree,Caucasian,"$50,000 - $65,000",Male
454.0,Yes,Often,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,Neutral,Strongly Disagree,9.0,No,No,Yes,Yes,Yes,No,No,Yes,No,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Yes,Yes,Just a bit better,Disagree,Agree,Neutral,Disagree,Agree,Neutral,2.0,12000.0,18000.0,14000.0,33.0,Married,2.0,Undergraduate degree,Black,"$95,000 - $110,000",Male
455.0,Yes,Very often,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Neutral,8.0,No,No,No,No,Yes,No,No,No,No,Strongly Agree,Neutral,Strongly Disagree,Disagree,Agree,Agree,No,,,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,1.0,12000.0,16000.0,14000.0,27.0,Single,,Some college,Black,"$65,000 - $80,000",Male
456.0,Yes,Often,Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Disagree,Neutral,Disagree,9.0,No,No,No,No,No,Yes,No,No,No,Strongly Agree,Strongly Agree,Disagree,Disagree,Neutral,Neutral,No,,,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,2.0,7000.0,12000.0,9000.0,46.0,Single,,Some college,Caucasian,"$35,000 - $50,000",Male
457.0,Yes,Almost never,Disagree,Disagree,Disagree,Neutral,Agree,Disagree,Strongly Disagree,Strongly Agree,7.0,No,No,Yes,No,Yes,No,No,No,No,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,No,,,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,6.0,22000.0,27000.0,25000.0,33.0,Divorced,2.0,Other,Asian,"Over $110,000",Female
458.0,Yes,Almost never,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Strongly Disagree,Disagree,3.0,No,No,No,No,Yes,No,No,No,No,Neutral,Neutral,Agree,Strongly Disagree,Agree,Strongly Agree,No,,,Agree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Neutral,4.0,13000.0,18000.0,17000.0,41.0,Married,2.0,Undergraduate degree,Caucasian,"Over $110,000",Male
459.0,Yes,Never,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Agree,4.0,No,No,No,Yes,Yes,No,No,No,No,Strongly Disagree,Agree,Neutral,Agree,Neutral,Agree,No,,,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,2.0,8000.0,16000.0,14000.0,25.0,Single,,Some college,Asian,"$80,000 - $95,000",Female
460.0,Yes,Occasionally,Neutral,Agree,Neutral,Agree,Disagree,Strongly Disagree,Disagree,Neutral,9.0,No,No,No,Yes,No,Yes,No,No,No,Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Yes,Yes,A great deal better,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,6.0,4000.0,10000.0,6000.0,27.0,Single,,Less than high school,Caucasian,"Under $35,000",Male
461.0,Yes,Occasionally,Disagree,Agree,Neutral,Neutral,Strongly Agree,Neutral,Disagree,Strongly Disagree,6.0,No,No,No,No,Yes,Yes,No,No,No,Strongly Agree,Agree,Agree,Neutral,Neutral,Agree,No,,,Neutral,Strongly Agree,Strongly Disagree,Disagree,Neutral,Disagree,1.0,7000.0,11000.0,9000.0,52.0,Divorced,3.0,Some college,Caucasian,"$95,000 - $110,000",Male
462.0,Yes,Often,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,11.0,No,No,No,No,No,Yes,No,No,No,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,No,,,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,3.0,5000.0,10000.0,8000.0,31.0,Divorced,1.0,High school,Caucasian,"$65,000 - $80,000",Male
463.0,Yes,Almost never,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,4.0,No,No,No,Yes,Yes,Yes,No,No,No,Disagree,Disagree,Agree,Neutral,Agree,Agree,No,,,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,9.0,9000.0,15000.0,13000.0,34.0,Divorced,0.0,Some college,Asian,"$65,000 - $80,000",Male
464.0,Yes,Often,Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,10.0,No,Yes,No,No,Yes,No,No,No,No,Strongly Agree,Neutral,Agree,Agree,Neutral,Agree,No,,,Disagree,Strongly Agree,Agree,Agree,Disagree,Disagree,3.0,8000.0,13000.0,11000.0,28.0,Single,,Some college,Asian,"$80,000 - $95,000",Male
465.0,Yes,Very often,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,11.0,No,No,No,No,No,No,No,No,No,Agree,Agree,Neutral,Strongly Disagree,Neutral,Strongly Agree,No,,,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,3.0,13000.0,20000.0,18000.0,40.0,Married,2.0,Graduate degree,Caucasian,"Over $110,000",Male
466.0,Yes,Never,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Disagree,3.0,Yes,No,No,Yes,No,No,No,No,No,Strongly Agree,Neutral,Agree,Strongly Disagree,Agree,Strongly Agree,No,,,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,8.0,3000.0,10000.0,8000.0,37.0,Married,1.0,Undergraduate degree,Caucasian,"$95,000 - $110,000",Male
467.0,Yes,Occasionally,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Disagree,Agree,Strongly Agree,5.0,No,No,No,Yes,Yes,Yes,No,No,No,Strongly Agree,Neutral,Disagree,Strongly Disagree,Agree,Strongly Agree,No,,,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,6.0,24000.0,29000.0,27000.0,42.0,Separated,2.0,High school,Caucasian,"$80,000 - $95,000",Male
468.0,Yes,Occasionally,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,6.0,No,No,No,Yes,No,Yes,No,No,No,Neutral,Disagree,Agree,Agree,Neutral,Strongly Agree,No,,,Neutral,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,1.0,7000.0,11000.0,9000.0,33.0,Married,2.0,Other,Caucasian,"Over $110,000",Male
469.0,Yes,Occasionally,Disagree,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,5.0,No,Yes,No,No,Yes,No,No,No,Yes,Strongly Agree,Agree,Neutral,Strongly Agree,Neutral,Agree,No,,,Disagree,Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,5.0,16000.0,22000.0,20000.0,44.0,Single,,Some college,Caucasian,"$80,000 - $95,000",Male
470.0,Yes,Often,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Disagree,Strongly Agree,10.0,No,No,No,No,No,No,No,No,No,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Yes,No,,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,3.0,7000.0,12000.0,8000.0,45.0,Married,1.0,Graduate degree,Caucasian,"Over $110,000",Male
471.0,Yes,Occasionally,Neutral,Neutral,Neutral,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,4.0,No,No,No,No,No,No,No,No,No,Disagree,Agree,Disagree,Strongly Disagree,Agree,Agree,No,,,Agree,Agree,Strongly Agree,Strongly Disagree,Neutral,Disagree,4.0,,12000.0,10000.0,35.0,Single,,High school,Caucasian,"$50,000 - $65,000",Male
472.0,Yes,Almost never,Disagree,Neutral,Disagree,Disagree,Neutral,Strongly Disagree,Disagree,Agree,3.0,No,No,No,No,Yes,No,No,No,No,Strongly Agree,Neutral,Agree,Disagree,Agree,Strongly Agree,No,,,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,5.0,23000.0,28000.0,26000.0,32.0,Married,2.0,Other,Hispanic,"Over $110,000",Male
473.0,Yes,Almost never,Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,7.0,No,No,No,Yes,Yes,Yes,No,No,No,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Yes,Yes,Much better,Strongly Disagree,Agree,Neutral,Strongly Agree,Agree,Strongly Disagree,9.0,16000.0,21000.0,18000.0,47.0,Married,2.0,Undergraduate degree,Caucasian,"Over $110,000",Male
474.0,Yes,Almost never,Disagree,Neutral,Disagree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,10.0,No,No,No,No,Yes,Yes,No,No,No,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,No,,,Disagree,Strongly Agree,Strongly Disagree,Agree,Neutral,Strongly Disagree,6.0,,10000.0,7000.0,36.0,Divorced,2.0,Undergraduate degree,Asian,"$35,000 - $50,000",Male
475.0,Yes,Very often,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Agree,8.0,No,No,No,Yes,No,No,No,No,No,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Yes,Yes,A great deal better,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Agree,6.0,15000.0,20000.0,17000.0,24.0,Single,,Some college,Caucasian,"$80,000 - $95,000",Male
476.0,Yes,Very often,Strongly Agree,Neutral,Agree,Disagree,Agree,Neutral,Strongly Disagree,Agree,11.0,No,No,No,No,Yes,Yes,No,No,No,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,No,,,Strongly Agree,Agree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,4.0,17000.0,21000.0,19000.0,30.0,Divorced,1.0,Some college,Black,"$65,000 - $80,000",Male
477.0,Yes,Very often,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Neutral,10.0,No,No,No,Yes,No,Yes,No,No,No,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,No,,,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,7.0,14000.0,18000.0,16000.0,38.0,Married,2.0,Graduate degree,Black,"Over $110,000",Male
478.0,Yes,Occasionally,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,Agree,Strongly Agree,8.0,No,No,No,No,No,No,No,No,No,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,No,,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,4.0,13000.0,19000.0,17000.0,37.0,Single,,Some college,Caucasian,"$80,000 - $95,000",Male
479.0,Yes,Often,Strongly Agree,Strongly Agree,Agree,Neutral,Disagree,Disagree,Strongly Disagree,Disagree,10.0,No,No,No,No,Yes,No,No,Yes,No,Strongly Agree,Neutral,Disagree,Neutral,Strongly Agree,Strongly Agree,No,,,Neutral,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,1.0,21000.0,27000.0,25000.0,38.0,Divorced,1.0,Undergraduate degree,Asian,"$80,000 - $95,000",Male
